W_mem "7.4e-05, 4.5e-05, 5.8e-05, 8.8e-05, 7.9e-05, 5e-05, 3.6e-05, 6.6e-05, 6.3e-05, 3.2e-05, 4.5e-05, 7.6e-05, 8.4e-05, 5.4e-05, 4.1e-05, 7.1e-05, 6.8e-05, 3.8e-05, 5.5e-05, 8.5e-05, 7.9e-05, 4.8e-05, 3.1e-05, 6.2e-05, 6.5e-05, 3.6e-05, 5.2e-05, 8.2e-05, 8.8e-05, 5.9e-05, 4.2e-05, 7.2e-05, 7.2e-05, 4.3e-05, 6e-05, 8.9e-05, 8.1e-05, 5.1e-05, 3.4e-05, 6.4e-05, 6.1e-05, 3e-05, 4.7e-05, 7.7e-05, 8.6e-05, 5.5e-05, 3.9e-05, 6.9e-05, 7e-05, 4e-05" [m]
W_GDE "0.000576, 0.000313, 0.000411, 0.0003, 0.000487, 0.000224, 0.000501, 0.000388, 0.000446, 0.000259, 0.000567, 0.000328, 0.000541, 0.000354, 0.000471, 0.000233, 0.000453, 0.000242, 0.000534, 0.00037, 0.000558, 0.000346, 0.000429, 0.000266, 0.000525, 0.000386, 0.000488, 0.000202, 0.000414, 0.000275, 0.000599, 0.000312, 0.000404, 0.000291, 0.000583, 0.000321, 0.000509, 0.000395, 0.000478, 0.000217, 0.000574, 0.000337, 0.000439, 0.000251, 0.000463, 0.000226, 0.00055, 0.000361, 0.000526, 0.000363" [m]
T "60.2863, 41.1005, 75.8156, 44.3235, 32.4897, 64.2729, 54.4604, 73.5499, 49.3077, 67.7186, 33.7785, 64.4955, 77.9406, 46.9326, 55.9698, 37.6556, 70.4961, 51.2055, 67.2716, 35.6777, 47.3772, 79.0706, 38.1018, 57.0983, 40.6667, 59.1699, 43.8912, 74.6976, 61.4845, 30.5784, 70.7599, 52.5507, 34.1552, 65.647, 49.6822, 68.8677, 55.5691, 36.4794, 77.5421, 45.7586, 76.2018, 45.4852, 60.6749, 42.2645, 54.0494, 72.3641, 32.0763, 63.0848, 42.6966, 74.2908" [degC]
sigmas_MGL370 "1.00604e+07, 3.63223e+07, 1.94963e+07, 4.58542e+07, 5.34062e+07, 2.67315e+07, 2.89775e+07, 2.20374e+06, 2.34796e+07, 5.01575e+07, 5.66278e+06, 3.24333e+07, 3.94926e+07, 1.32339e+07, 4.24768e+07, 1.61157e+07, 2.80539e+07, 1.69005e+06, 5.08079e+07, 2.4552e+07, 1.83725e+07, 4.51524e+07, 7.24804e+06, 3.39166e+07, 4.1953e+07, 1.51764e+07, 3.73232e+07, 1.06513e+07, 4.91279e+06, 3.12799e+07, 2.11221e+07, 4.73748e+07, 3.51635e+07, 8.48726e+06, 4.39055e+07, 1.71333e+07, 2.49642e+07, 5.12245e+07, 1.27791e+06, 2.76374e+07, 4.77945e+07, 2.15309e+07, 3.08602e+07, 4.504e+06, 1.18937e+07, 3.85667e+07, 1.3934e+07, 4.07094e+07, 3.44443e+06, 3.02226e+07" [S/m]
sigmas_SS316L "1.38405e+06, 448040, 375042, 1.25789e+06, 927166, 69087.5, 778865, 1.68991e+06, 643460, 1.40078e+06, 1.11556e+06, 305271, 184904, 1.0235e+06, 1.52104e+06, 735628, 1.20391e+06, 415909, 502123, 1.34308e+06, 1.64754e+06, 834651, 111555, 871276, 246064, 1.16135e+06, 1.45988e+06, 597779, 691340, 1.57844e+06, 1.06768e+06, 127607, 1.67091e+06, 811286, 35020.4, 947810, 1.28036e+06, 339459, 478635, 1.36657e+06, 714825, 1.55496e+06, 991226, 204061, 322602, 1.08481e+06, 1.43652e+06, 621141, 903684, 92569" [S/m]
eps_H2 "0.743444, 0.620436, 0.663378, 0.797403, 0.711756, 0.627147, 0.682447, 0.753305, 0.781678, 0.654099, 0.610963, 0.727916, 0.762585, 0.698172, 0.642675, 0.72123, 0.693136, 0.77072, 0.713826, 0.646881, 0.662211, 0.776619, 0.732145, 0.603583, 0.631352, 0.704352, 0.761442, 0.677412, 0.613058, 0.747674, 0.792342, 0.671489, 0.679255, 0.75684, 0.703095, 0.636149, 0.673357, 0.787765, 0.746392, 0.617831, 0.645624, 0.718624, 0.772563, 0.688534, 0.602301, 0.736918, 0.778486, 0.657633, 0.729588, 0.60658" []
eps_O2 "0.666091, 0.75652, 0.629081, 0.745291, 0.612583, 0.710044, 0.676351, 0.79803, 0.600028, 0.722489, 0.688796, 0.785476, 0.653548, 0.768978, 0.641538, 0.732749, 0.753976, 0.670187, 0.741185, 0.631614, 0.701237, 0.622917, 0.787662, 0.685122, 0.713694, 0.610374, 0.775119, 0.69758, 0.766421, 0.657632, 0.72863, 0.644059, 0.737777, 0.634847, 0.751548, 0.672836, 0.791288, 0.681327, 0.704275, 0.620094, 0.778745, 0.693784, 0.716731, 0.607552, 0.725222, 0.647292, 0.763992, 0.660282, 0.626431, 0.74772" []
v_in_H2 "0.002812, 0.003866, 0.004842, 0.001688, 0.005351, 0.002197, 0.003353, 0.004407, 0.005099, 0.001945, 0.003085, 0.004139, 0.002576, 0.00363, 0.004557, 0.001403, 0.004721, 0.001567, 0.002674, 0.003728, 0.003183, 0.004237, 0.005263, 0.002109, 0.003452, 0.004506, 0.005515, 0.002361, 0.005006, 0.001852, 0.00291, 0.003964, 0.004439, 0.003393, 0.002433, 0.005578, 0.001924, 0.005069, 0.003897, 0.002851, 0.001635, 0.00478, 0.003657, 0.002611, 0.004166, 0.00312, 0.002176, 0.005322, 0.002012, 0.005158" [m/s]
v_in_O2 "0.003687, 0.004773, 0.004602, 0.002626, 0.00424, 0.002961, 0.003155, 0.00533, 0.004071, 0.002738, 0.003379, 0.005501, 0.003882, 0.005022, 0.004351, 0.002429, 0.002795, 0.003986, 0.005492, 0.003412, 0.005132, 0.003748, 0.002264, 0.004545, 0.004962, 0.003524, 0.002487, 0.004714, 0.002992, 0.004236, 0.005244, 0.003217, 0.003934, 0.002848, 0.003466, 0.005441, 0.003799, 0.005079, 0.004491, 0.002316, 0.003577, 0.00491, 0.004662, 0.00254, 0.004183, 0.003044, 0.003269, 0.00519, 0.004825, 0.003634" [m/s]
p_gas "7.21709e+06, 1.1802e+06, 2.64585e+06, 9.4663e+06, 2.36262e+06, 6.04355e+06, 8.1247e+06, 3.97367e+06, 9.79611e+06, 3.60743e+06, 184180, 6.84304e+06, 4.93189e+06, 8.46094e+06, 5.67287e+06, 1.36017e+06, 6.25346e+06, 2.10236e+06, 4.1946e+06, 7.87546e+06, 774218, 7.59475e+06, 9.04929e+06, 3.01249e+06, 8.87675e+06, 4.56398e+06, 1.76741e+06, 5.29638e+06, 3.38769e+06, 1.00466e+07, 6.63187e+06, 443264, 7.32838e+06, 978139, 3.11959e+06, 8.99974e+06, 2.15321e+06, 6.1475e+06, 7.67039e+06, 4.45967e+06, 9.9174e+06, 3.41528e+06, 726695, 6.44517e+06, 4.75198e+06, 8.59447e+06, 5.26765e+06, 1.89533e+06, 5.77963e+06, 2.56898e+06" [Pa]
