T V
0.0000	1.2251
0.0050000	1.5660
0.010000	1.6500
0.015000	1.7021
0.020000	1.7475
0.025000	1.7787
0.030000	1.8099
0.035000	1.8410
0.040000	1.8642
0.045000	1.8853
0.050000	1.9063
0.055000	1.9274
0.060000	1.9485
0.065000	1.9695
0.070000	1.9871
0.075000	2.0031
0.080000	2.0190
0.085000	2.0350
0.090000	2.0510
0.095000	2.0670
0.10000	2.0815
0.10500	2.0949
0.11000	2.1084
0.11500	2.1218
0.12000	2.1353
0.12500	2.1487
0.13000	2.1618
0.13500	2.1742
0.14000	2.1864
0.14500	2.1983
0.15000	2.2100
0.15500	2.2214
0.16000	2.2327
0.16500	2.2439
0.17000	2.2549
0.17500	2.2658
0.18000	2.2765
0.18500	2.2870
0.19000	2.2974
0.19500	2.3078
0.20000	2.3180
0.20500	2.3281
0.21000	2.3381
0.21500	2.3479
0.22000	2.3577
0.22500	2.3674
0.23000	2.3770
0.23500	2.3865
0.24000	2.3959
0.24500	2.4053
0.25000	2.4145
0.25500	2.4237
0.26000	2.4328
0.26500	2.4419
0.27000	2.4509
0.27500	2.4598
0.28000	2.4686
0.28500	2.4774
0.29000	2.4861
0.29500	2.4948
0.30000	2.5034
0.30500	2.5120
